2026-08-01 08:47:41 | 3_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:47:43 | 54_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:47:44 | 12_iPhone_20260731_133624 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:47:44 | 36_iPhone_20260730_135245 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:47:46 | 19_iPhone_20260730_134440 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:47:46 | 13_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:47:46 | 8_iPhone (4) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:47:47 | 12_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:47:47 | 67_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:47:47 | 58_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:05 | 11_iPhone_20260731_112506 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:07 | 47_iPhone (23) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:14 | 69_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:15 | 37_iPhone (9) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:17 | 31_iPhone (51) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:18 | 45_iPhone (106) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:19 | 59_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:19 | 43_iPhone (6) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:19 | 78_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:19 | 60_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:20 | 12_iPhone_20260730_133812 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:20 | 65_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:20 | 63_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 08:52:22 | 31_iPhone_20260730_134753 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:32 | 27_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:32 | 12_iPhone (3) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:35 | 77_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:37 | 34_iPhone (80) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:37 | 32_iPhone (8) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:37 | 1_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:38 | 16_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:38 | 51_iPhone (10) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:38 | 62_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:38 | 14_iPhone_20260731_112553 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:38 | 7_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:38 | 40_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:38 | 68_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:00:40 | 76_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:06:20 | 71_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:06:25 | 6_iPhone_20260731_112224 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:06:28 | 27_iPhone_20260730_134738 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:06:28 | 2_iPhone_20260731_112201 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:06:29 | 50_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:06:29 | 74_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:06:29 | 41_iPhone (2) | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:06:31 | 37_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
